Feedback_ID,Customer_Name,Stock_ID,Item_Name,Category,Date,Rating,Feedback_Comment
31477.0,Nair Home Store,2477.0,Traditional Handle,Kadi,2024-10-01,4.0,Customers love this product
30773.0,Gupta Home Store,1773.0,Gold Plated Handle,Handles,2024-10-01,4.0,Highly recommended
31005.0,Shah Solutions,2005.0,KH-1239,Kadi,2024-10-01,4.0,Excellent quality product
34428.0,Gupta Hardware,5428.0,Khutti,Handles,2024-10-01,4.0,Best in market
32908.0,Mehta Traders,3908.0,Kadi Deluxe,Knob,2024-10-01,5.0,Premium finish and look
32969.0,Thakur Furnishings,3969.0,Khutti,Knob,2024-10-01,4.0,Highly recommended
32984.0,Shah Enterprises,3984.0,Key Stand,Kadi,2024-10-01,2.0,Poor quality received; Always out of stock
33913.0,Reddy Solutions,4913.0,Tower Bolt Premium,Knob,2024-10-01,5.0,Best in market
32129.0,Singh Solutions,3129.0,Traditional Handle,Knob,2024-10-01,5.0,Perfect for our needs
30720.0,Reddy Home Store,1720.0,Main Door Handle,Others,2024-10-01,3.0,Nothing special
32118.0,Reddy Home Store,3118.0,Traditional Handle,Accessories,2024-10-01,4.0,Great value for money
30705.0,Sharma Solutions,1705.0,Traditional Handle,Handles,2024-10-01,3.0,Average quality
32779.0,Sharma Traders,3779.0,Gold Plated Handle,Handles,2024-10-01,2.0,Not worth the price
32799.0,Gupta Enterprises,3799.0,Cross Knob,Kadi,2024-10-01,2.0,Not worth the price
31431.0,Reddy Traders,2431.0,Tower Bolt,Others,2024-10-01,2.0,Delivery takes too long
31068.0,Sharma Stores,2068.0,Main Door Handle,Kadi,2024-10-01,3.0,Average quality
32547.0,Mehta Stores,3547.0,Designer Knob,Accessories,2024-10-01,5.0,Premium finish and look
34732.0,Singh Build Mart,5732.0,KH-1239,Others,2024-10-01,5.0,Very satisfied with the durability
30114.0,Singh Enterprises,1114.0,Designer Knob,Kadi,2024-10-01,1.0,Difficult to install
31818.0,Singh Build Mart,2818.0,KH-1239,Accessories,2024-10-01,4.0,Excellent quality product
30476.0,Sharma Stores,1476.0,Stainless Steel Knob,Kadi,2024-10-01,5.0,Customers love this product
33696.0,Sharma Supplies,4696.0,Sofa Leg,Accessories,2024-10-01,4.0,Premium finish and look
34908.0,Verma Stores,5908.0,Economy Kadi,Accessories,2024-10-01,3.2778362450010525,Premium finish and look
30352.0,Kumar Build Mart,1352.0,KH-1239,Handles,2024-10-01,3.0,Decent product
33235.0,Reddy Supplies,4235.0,Profile Handle,Handles,2024-10-01,5.0,Customers love this product
30318.0,Singh Solutions,1318.0,Stainless Steel Knob,Knob,2024-10-01,1.0,Poor quality received
32050.0,Sharma Build Mart,3050.0,Decorative Kadi,Handles,2024-10-01,1.0,Many defects found; Limited stock available
34614.0,Nair Hardware,5614.0,Cross Knob,Knob,2024-10-01,2.0,Not worth the price
30959.0,Kumar Stores,1959.0,Tower Bolt Premium,Kadi,2024-10-02,5.0,Premium finish and look
32465.0,Pillai Home Store,3465.0,Ultra Modern Handle,Knob,2024-10-02,3.0,Nothing special
32406.0,Joshi Enterprises,3406.0,Cross Knob,Knob,2024-10-02,3.0,Regular product
32550.0,Singh Home Store,3550.0,Tower Bolt,Handles,2024-10-02,4.0,Great value for money
34858.0,Gupta Solutions,5858.0,Cross Knob,Knob,2024-10-02,4.0,Premium finish and look
30918.0,Verma Stores,1918.0,Khutti,Others,2024-10-02,1.0,Packaging needs improvement; Always out of stock
30947.0,Gupta Build Mart,1947.0,Kadi Deluxe,Kadi,2024-10-02,4.0,Highly recommended
33607.0,Shah Supplies,4607.0,KH-1239,Knob,2024-10-02,5.0,Best in market
30973.0,Thakur Distributors,1973.0,Brass Khutti,Knob,2024-10-02,3.0,Meets basic requirements
32252.0,Reddy Stores,3252.0,Key Stand,Knob,2024-10-02,5.0,Very satisfied with the durability
34178.0,Thakur Furnishings,5178.0,Khutti,Kadi,2024-10-02,4.0,Customers love this product
31655.0,Shah Distributors,2655.0,KH-1239,Accessories,2024-10-02,5.0,Highly recommended
32100.0,Nair Hardware,3100.0,Cross Knob,Knob,2024-10-02,5.0,Best in market
34502.0,Verma Stores,5502.0,Gold Plated Handle,Others,2024-10-02,1.0,Poor quality received
31685.0,Reddy Hardware,2685.0,Gold Plated Handle,Kadi,2024-10-02,5.0,Excellent quality product
34532.0,Agarwal Furnishings,5532.0,Tower Bolt Premium,Handles,2024-10-02,3.0,Nothing special
34599.0,Shah Traders,5599.0,Antique Handle,Accessories,2024-10-02,5.0,Perfect for our needs
34655.0,Joshi Traders,5655.0,Key Stand,Kadi,2024-10-02,3.0,Regular product
31740.0,Nair Stores,2740.0,Traditional Handle,Kadi,2024-10-02,3.0,Meets basic requirements
34711.0,Patel Traders,5711.0,Stainless Steel Knob,Kadi,2024-10-02,3.0,Regular product
31264.0,Joshi Supplies,2264.0,Cross Knob,Knob,2024-10-02,3.0,Meets basic requirements
31282.0,Sharma Build Mart,2282.0,Tower Bolt,Accessories,2024-10-02,5.0,Perfect for our needs
30102.0,Nair Solutions,1102.0,KH-1239,Others,2024-10-02,3.0,Meets basic requirements
30706.0,Kumar Supplies,1706.0,Main Door Handle,Handles,2024-10-02,4.0,Perfect for our needs
33048.0,Singh Furnishings,4048.0,Antique Handle,Knob,2024-10-02,1.0,Stock never available; Need better stock management
32897.0,Mehta Distributors,3897.0,Profile Handle,Accessories,2024-10-02,2.0,Poor quality received
33810.0,Gupta Supplies,4810.0,KH-1239,Knob,2024-10-02,3.0,Standard quality
30628.0,Gupta Home Store,1628.0,Traditional Handle,Others,2024-10-02,4.0,Customers love this product
