Feedback_ID,Customer_Name,Stock_ID,Item_Name,Category,Date,Rating,Feedback_Comment
31477,Nair Home Store,2477,Traditional Handle,Kadi,2024-10-01,4.0,Customers love this product
30773,Gupta Home Store,1773,Gold Plated Handle,Handles,2024-10-01,4.0,Highly recommended
31005,Shah Solutions,2005,KH-1239,Kadi,2024-10-01,4.0,Excellent quality product
34428,Gupta Hardware,5428,Khutti,Handles,2024-10-01,4.0,Best in market
32908,Mehta Traders,3908,Kadi Deluxe,Knob,2024-10-01,5.0,Premium finish and look
32969,Thakur Furnishings,3969,Khutti,Knob,2024-10-01,4.0,Highly recommended
32984,Shah Enterprises,3984,Key Stand,Kadi,2024-10-01,2.0,Poor quality received; Always out of stock
33913,Reddy Solutions,4913,Tower Bolt Premium,Knob,2024-10-01,5.0,Best in market
32129,Singh Solutions,3129,Traditional Handle,Knob,2024-10-01,5.0,Perfect for our needs
30720,Reddy Home Store,1720,Main Door Handle,Others,2024-10-01,3.0,Nothing special
32118,Reddy Home Store,3118,Traditional Handle,Accessories,2024-10-01,4.0,Great value for money
30705,Sharma Solutions,1705,Traditional Handle,Handles,2024-10-01,3.0,Average quality
32779,Sharma Traders,3779,Gold Plated Handle,Handles,2024-10-01,2.0,Not worth the price
32799,Gupta Enterprises,3799,Cross Knob,Kadi,2024-10-01,2.0,Not worth the price
31431,Reddy Traders,2431,Tower Bolt,Others,2024-10-01,2.0,Delivery takes too long
31068,Sharma Stores,2068,Main Door Handle,Kadi,2024-10-01,3.0,Average quality
32547,Mehta Stores,3547,Designer Knob,Accessories,2024-10-01,5.0,Premium finish and look
34732,Singh Build Mart,5732,KH-1239,Others,2024-10-01,5.0,Very satisfied with the durability
30114,Singh Enterprises,1114,Designer Knob,Kadi,2024-10-01,1.0,Difficult to install
31818,Singh Build Mart,2818,KH-1239,Accessories,2024-10-01,4.0,Excellent quality product
30476,Sharma Stores,1476,Stainless Steel Knob,Kadi,2024-10-01,5.0,Customers love this product
33696,Sharma Supplies,4696,Sofa Leg,Accessories,2024-10-01,4.0,Premium finish and look
34908,Verma Stores,5908,Economy Kadi,Accessories,2024-10-01,,
30352,Kumar Build Mart,1352,KH-1239,Handles,2024-10-01,3.0,Decent product
33235,Reddy Supplies,4235,Profile Handle,Handles,2024-10-01,5.0,Customers love this product
30318,Singh Solutions,1318,Stainless Steel Knob,Knob,2024-10-01,1.0,Poor quality received
32050,Sharma Build Mart,3050,Decorative Kadi,Handles,2024-10-01,1.0,Many defects found; Limited stock available
34614,Nair Hardware,5614,Cross Knob,Knob,2024-10-01,2.0,Not worth the price
30959,Kumar Stores,1959,Tower Bolt Premium,Kadi,2024-10-02,5.0,Premium finish and look
32465,Pillai Home Store,3465,Ultra Modern Handle,Knob,2024-10-02,3.0,Nothing special
32406,Joshi Enterprises,3406,Cross Knob,Knob,2024-10-02,3.0,Regular product
32550,Singh Home Store,3550,Tower Bolt,Handles,2024-10-02,4.0,Great value for money
34858,Gupta Solutions,5858,Cross Knob,Knob,2024-10-02,4.0,Premium finish and look
30918,Verma Stores,1918,Khutti,Others,2024-10-02,1.0,Packaging needs improvement; Always out of stock
30947,Gupta Build Mart,1947,Kadi Deluxe,Kadi,2024-10-02,4.0,Highly recommended
33607,Shah Supplies,4607,KH-1239,Knob,2024-10-02,5.0,Best in market
30973,Thakur Distributors,1973,Brass Khutti,Knob,2024-10-02,3.0,Meets basic requirements
32252,Reddy Stores,3252,Key Stand,Knob,2024-10-02,5.0,Very satisfied with the durability
34178,Thakur Furnishings,5178,Khutti,Kadi,2024-10-02,4.0,Customers love this product
31655,Shah Distributors,2655,KH-1239,Accessories,2024-10-02,5.0,Highly recommended
32100,Nair Hardware,3100,Cross Knob,Knob,2024-10-02,5.0,Best in market
34502,Verma Stores,5502,Gold Plated Handle,Others,2024-10-02,1.0,Poor quality received
